"SOURCE","TARGET"
"Brian Holland","Robert Bateman"
"Eric Andrew Howk","Robert Bateman"
"Kyle O'Quin","Robert Bateman"
"Jason Wade Sechrist","Robert Bateman"
"Asa Taccone","Robert Bateman"
"Bernard Belle","Teddy Riley"
"Dave Way","Teddy Riley"
"Craig Reid","Charlie Reid"
"Manuel Seal","Jermaine Dupri"
"Bobby Vinton","Akon"
"Gene Allan","Akon"
"Jeremy Fraites","Wesley Schultz"
"Emily Warren","Caroline Ailin"
"Ian Kirkpatrick","Caroline Ailin"
"Solomon Conner","Keven Conner"
"Darryl Jackson","Keven Conner"
"Noel Hogan","Dolores O'Riordan"
"Sia Furler","Shaffer Smith"
"Mark Hadfield","Shaffer Smith"
"Tor E. Hermansen","Shaffer Smith"
"Mike Di Scala","Shaffer Smith"
"Mikkel S. Eriksen","Shaffer Smith"
"Robyn Fenty","Dijon McFarlane"
"Nick Audino","Dijon McFarlane"
"Lewis Hughes","Dijon McFarlane"
"Khaled Rohaim","Dijon McFarlane"
"Te Whiti Warbrick","Dijon McFarlane"
"Adam Feeney","Dijon McFarlane"
"Brittany Hazzard","Dijon McFarlane"
"Charles Hinshaw","Dijon McFarlane"
"Derrus Rachel","Dijon McFarlane"
"Jörg Evers","Darren Benbow"
"Montell Jordan","Darren Benbow"
"Brian Palmer","Darren Benbow"
"LeVar A. Wilson","Darren Benbow"
"Pleasure P","Baby Blue Whoaaaa"
"Slick'em","Baby Blue Whoaaaa"
"Spectacular","Baby Blue Whoaaaa"
"Bigg D","Baby Blue Whoaaaa"
"Jim Jonsin","Baby Blue Whoaaaa"
"Allan Pineda","William Adams"
"Jaime Gomez","William Adams"
"Stacy Ferguson","William Adams"
"Joshua Alvarez","William Adams"
"Stephen Shadowen","William Adams"
"Rodney Jerkins","William Adams"
"Julie Frost","William Adams"
"Vincent Calloway","Reggie Calloway"
"Melvin Gentry","Reggie Calloway"
"Belinda Lipscomb","Reggie Calloway"
"Sylvester Jackson","Jarvis La Rue Baker"
"Narada Michael Walden","Jarvis La Rue Baker"
"Shanice Wilson","Jarvis La Rue Baker"
"Kenya Hadley","Monifa Bethune"
"Stephanie Sinclair","Monifa Bethune"
"Hami","Monifa Bethune"
"Roger Troutman","Monifa Bethune"
"Prince","Monifa Bethune"
"Larry Troutman","Monifa Bethune"
"Pharrell Williams","James Todd Smith"
"Chad Hugo","James Todd Smith"
"Joe King","Isaac Slade"
"Paul Doucette","Rob Thomas"
"Kyle Cook","Rob Thomas"
"Brian Yale","Rob Thomas"
"Kerry Brothers Jr.","Alicia Keys"
"Kevin Kadish","Meghan Trainor"
"Ben Watt","Tracey Thorn"
"Joylon Skinner","Joseph Thomas"
"Michele Williams","Joseph Thomas"
"Lonnie Rashid Lynn","Erykah Badu"
"Madukwu Chinwah","Erykah Badu"
"Robert Ozuma","Erykah Badu"
"James Poyser","Erykah Badu"
"Raphael Saadiq","Erykah Badu"
"Rashad Smith","Erykah Badu"
"Glen Standridge","Erykah Badu"
"Jeffrey Steele","Steve Robson"
"Henry Walter","Adam Levine"
"Belcalis Almanzar","Adam Levine"
"Brittany Talia Hazzard","Adam Levine"
"Jason Evigan","Adam Levine"
"Gian Stone","Adam Levine"
"Calvin Broadus","Tracy Curry"
"Otha Haywood","Tracy Curry"
"Walter Afanasieff","Kenny G"
"Chad Hugo","Pharrell Williams"
"Aliaune 'Akon' Thiam","Cordozar Broadus"
"Stefan Gordy","David Listenbee"
"Skyler Gordy","David Listenbee"
"Peter Schroeder","David Listenbee"
"Miley Cyrus","Mike Will Made It"
"Jordan Houston","Mike Will Made It"
"Cameron Thomaz","Mike Will Made It"
"Theron Thomas","Mike Will Made It"
"Timothy Thomas","Mike Will Made It"
"Pierre Ramon Slaughter","Mike Will Made It"
"Donald Fagen","Walter Becker"
"Ryan Lewis","Ben Haggerty"
"Mary Lambert","Ben Haggerty"
"Ryan Lewis","Ben Haggerty"
"Ray Dalton","Ben Haggerty"
"Bill Bottrell","Michael Jackson"
"Herbie Crichlow","Robyn"
"Denniz Pop","Robyn"
"Max Martin","Robyn"
"Aubrey Graham","Dwayne Carter"
"Lloyd Polite","Dwayne Carter"
"Carl Lilly","Dwayne Carter"
"Onika Maraj","Dwayne Carter"
"Michael Stevenson","Dwayne Carter"
"Jarvis Mills","Dwayne Carter"
"Stephen 'Static Major' Garrett","Dwayne Carter"
"Max Martin","Pink"
"Johan Schuster","Pink"
"Isaac Hayes","Hittman Howie Tee"
"Steve Cropper","Hittman Howie Tee"
"Kevin Thornton","Hittman Howie Tee"
"Sam Watters","Hittman Howie Tee"
"Mark Calderon","Hittman Howie Tee"
"Bryan Abrams","Hittman Howie Tee"
"Kipper Jones","Keith Crouch"
"Ludwig Göransson","Donald Glover"
"Gary Cooper","Donald Glover"
"Bootsy Collins","Donald Glover"
"George Clinton","Donald Glover"
"Dan Wilson","Adele Adkins"
"Justin Timberlake","Clifford Harris, Jr."
"Robin Tadross","Clifford Harris, Jr."
"Tor Erik Hermansen","Mikkel S. Eriksen"
"Sandy Wilhelm","Mikkel S. Eriksen"
"Ester Dean","Mikkel S. Eriksen"
"Britney Spears (remix only)","Mikkel S. Eriksen"
"Laurence Tolhurst (uncredited)","Mikkel S. Eriksen"
"Robert Smith (uncredited)","Mikkel S. Eriksen"
"Philip Lawrence","Bruno Mars"
"Christopher Brody Brown","Bruno Mars"
"James Fauntleroy","Bruno Mars"
"Johnathan Yip","Bruno Mars"
"Ray Romulus","Bruno Mars"
"Jeremy Reeves","Bruno Mars"
"Ray McCullough II","Bruno Mars"
"Camila Cabello","Colson Baker"
"Madison Love","Colson Baker"
"Tony Scalzo","Colson Baker"
"Joe Khajadourian","Colson Baker"
"Alex Schwartz","Colson Baker"
"Kyle “Logik” Burns","Colson Baker"
"James Napier","Sam Smith"
"William Phillips","Sam Smith"
"Tom Petty","Sam Smith"
"Jeff Lynne","Sam Smith"
"Anton Zaslavski","Max Martin"
"Savan Kotecha","Max Martin"
"Onika Maraj","Max Martin"
"Emily Warren","Andrew Taggart"
"Scott Harris","Andrew Taggart"
"Mikkel S. Eriksen","Cameron Thomaz"
"Tor Erik Hermansen","Cameron Thomaz"
"Danielle Brisebois","Natasha Bedingfield"
"John Shanks","Natasha Bedingfield"
"Florence Welch","Calvin Harris"
"Kid Harpoon","Calvin Harris"
"Max Martin","Adele Adkins"
"Shellback","Adele Adkins"
"Klas Åhlund","Kesha Sebert"
"Lukasz Gottwald","Kesha Sebert"
"Allan Grigg","Kesha Sebert"
"Benjamin Levin","Kesha Sebert"
"Max Martin","Kesha Sebert"
"Andrea Martin","J. R. Rotem"
"David Guetta","Aliaune Thiam"
"Jean-Claude Sindres","Aliaune Thiam"
"Sandy Vee","Aliaune Thiam"
"Christian Jones","Brian Collins"
"Chris Brown","Brian Collins"
"Dijon McFarlane","Brian Collins"
"Fred McFarlane","Brian Collins"
"Jeremih Felton","Brian Collins"
"Mikely Adam","Brian Collins"
"Allen George","Brian Collins"
"Charlie Puth","Tremaine Neverson"
"Geoffrey Earley","Tremaine Neverson"
"Jacob Kasher","Tremaine Neverson"
"Quavious Marshall","Austin Post"
"Leland Wayne","Austin Post"
"Adam Feeney","Austin Post"
"Louis Bell","Austin Post"
"Carl Rosen","Austin Post"
"Robert John ""Mutt"" Lange","Shania Twain"
"Ron ""Have Mercy"" Kersey","Leroy Green"
"Tyson Ritter","Nick Wheeler"
"Nathaniel Motte","Sean Foreman"
"Benjamin Levin","Sean Foreman"
"Diane Warren","Albert Hammond"
"Alessandro Benassi","Alain Whyte"
"Brian Kennedy","Alain Whyte"
"Chris Brown","Alain Whyte"
"Jean-Baptiste","Alain Whyte"
"Marco Benassi","Alain Whyte"
"Michael McHenry","Alain Whyte"
"Nick Marsh","Alain Whyte"
"Ryan Buendia","Alain Whyte"
"William Orbit","Alain Whyte"
"Michael Keith","Daron Jones"
"Marvin Scandrick","Daron Jones"
"Quinnes Parker","Daron Jones"
"Pierre Ramon Slaughter","Daron Jones"
"Mario Winans","Daron Jones"
"Jason ""Poo Bear"" Boyd","Daron Jones"
"Aljamaal Jones","Daron Jones"
"Courtney Sills","Daron Jones"
"Kuo Ying-nan","Michael Cretu"
"Kuo Hsiu-chu","Michael Cretu"
"Kara DioGuardi","Ashlee Simpson"
"John Shanks","Ashlee Simpson"
"Shaffer Smith","Algernod Washington"
"J.R. Rotem","Algernod Washington"
"Terry Lewis","Algernod Washington"
"Janet Jackson","Algernod Washington"
"James Harris","Algernod Washington"
"Thomas Callaway","Anthony Ray"
"Juan Salinas & Oscar Salinas","Hakeem Seriki"
"Anthony Henderson","Hakeem Seriki"
"Kiari Cephus","Micheal Stevenson"
"David Doman","Micheal Stevenson"
"Cameron Forbes","Micheal Stevenson"
"B.B. Dickerson","Papa Dee Allen"
"Charles Miller","Papa Dee Allen"
"Harold Brown","Papa Dee Allen"
"Howard Scott","Papa Dee Allen"
"Jerry Goldstein","Papa Dee Allen"
"Lee Oskar","Papa Dee Allen"
"Lonnie Jordan","Papa Dee Allen"
"D. Hollister","C. Hannibal"
"M. Riley","C. Hannibal"
"T. Riley","C. Hannibal"
"L. Sylvers","C. Hannibal"
"Mikkel S. Eriksen","Tor Erik Hermansen"
"Tawanna Dabney","Tor Erik Hermansen"
"Michael Jackson","Tor Erik Hermansen"
"Walter Afanasieff","Mariah Carey"
"Euclid Gray","Feloney Davis"
"Monica Gray","Feloney Davis"
"Ben Moody","Amy Lee"
"David Hodges","Amy Lee"
"Zyah Ahmonuel","Melissa Elliott"
"Kenneth Cunningham","Melissa Elliott"
"Jamahl Rye","Melissa Elliott"
"Curtis Jackson III","Kimberly Jones"
"Kanye West","Sean Anderson"
"Dijon McFarlane","Sean Anderson"
"Mikely Adam","Sean Anderson"
"Willie Hansbro","Sean Anderson"
"Dacoury Natche","Sean Anderson"
"Dwane Weir II","Sean Anderson"
"Earl Stevens","Sean Anderson"
"D.J. Rogers","Sean Anderson"
"Onika Maraj","Juaquin Malphurs"
"Michael Stevenson","Juaquin Malphurs"
"Tramar Dillard","Juaquin Malphurs"
"Harvey Miller","Juaquin Malphurs"
"Alonzo Lee","Houston Summers"
"Shamar Daugherty","Houston Summers"
"Mischke Butler","Houston Summers"
"Howie Bailey","Houston Summers"
"Nathaniel Hale","Houston Summers"
"Bobby Sandimanie","Houston Summers"
"Steve Prudholme","Houston Summers"
"Natalie Albino","Nicole Albino"
"Cordel Burrell","Nicole Albino"
"Luis Diaz","Nicole Albino"
"Paul George","Nicole Albino"
"Curtis Bedeau","Nicole Albino"
"Gerald Charles","Nicole Albino"
"Brian George","Nicole Albino"
"Elijah Wells","Nicole Albino"
"Lionel Bermingham","Nicole Albino"
"Dorian Moore","Nelly"
"Randy Edelman","Nelly"
"El DeBarge","Nelly"
"William DeBarge","Nelly"
"Etterlene DeBarge","Nelly"
"Kenneth Gamble","Nelly"
"Leon Huff","Nelly"
"Steve Angello","Axel Hedfors"
"Sebastian Ingrosso","Axel Hedfors"
"John Martin Lindström","Axel Hedfors"
"Michel Zitron","Axel Hedfors"
"Aubrey Graham","Rakim Mayers"
"Noah Shebib","Rakim Mayers"
"Kendrick Duckworth","Rakim Mayers"
"Tauheed Epps","Rakim Mayers"
"Stephen Garrett","Rakim Mayers"
"Chauncey Hawkins","Sean Combs"
"Mario Winans","Sean Combs"
"Michael Carlos Jones","Sean Combs"
"Adonis Shropshire","Sean Combs"
"Jack Knight","Sean Combs"
"Tim Mosley","Missy Elliott"
"Christopher Bridges","Missy Elliott"
"Cory Rooney","Jennifer Lopez"
"Troy Oliver","Jennifer Lopez"
"Lorraine Cheryl Cook","Jennifer Lopez"
"Ronald LaPread","Jennifer Lopez"
"Jean-Claude Olivier","Jennifer Lopez"
"Samuel Barnes","Jennifer Lopez"
"Nasir Jones","Jennifer Lopez"
"Anthony O'Brian","Jennifer Lopez"
"Anthony Wright","Jennifer Lopez"
"Nathaniel Chase","Jennifer Lopez"
"Sylvia Robinson","Jennifer Lopez"
"Denzil Foster","Jennifer Lopez"
"Thomas McElroy","Jennifer Lopez"
"Jay King","Jennifer Lopez"
"Curtis Jackson","Jennifer Lopez"
"Kenny Nolan","Bob Crewe"
"Enya","Mario Winans"
"Nicky Ryan","Mario Winans"
"Roma Ryan","Mario Winans"
"Lo Down","Mario Winans"
"Chauncey Hawkins","Mario Winans"
"Erick Sermon","Mario Winans"
"Parrish Smith","Mario Winans"
"James Scheffer","DeAndre Way"
"David Siege","DeAndre Way"
"Shamar Daugherty","Alonzo Lee"
"Howard Bailey, Jr","Alonzo Lee"
"Chris Bridges","Alonzo Lee"
"Roshad Holiday","Curtis ""Sauce"" Wilson"
"Jeff ""Fuzzy"" Young","Curtis ""Sauce"" Wilson"
"Tamara Powell","Curtis ""Sauce"" Wilson"
"James Baker","Curtis ""Sauce"" Wilson"
"Melvin Young","Curtis ""Sauce"" Wilson"
"M. Marshall","B. Daisley"
"R. Rhoads","B. Daisley"
"J. Scheffer","B. Daisley"
"J. Smith","B. Daisley"
"M. Young","B. Daisley"
"C. Young","B. Daisley"
"7 Aurelius","Jeffery Atkins"
"Irving Lorenzo","Jeffery Atkins"
"Ashanti Douglas","Jeffery Atkins"
"Tiffany Lane","Jeffery Atkins"
"LaVita Raynor","Jeffery Atkins"
"Larry Troutman","Jeffery Atkins"
"Roger Troutman","Jeffery Atkins"
"Willy William","José Osorio"
"Adam Assad","José Osorio"
"Andrés David Restrepo","José Osorio"
"Mohombi Nzasi Moupondo","José Osorio"
"Tom Snow","Amy Grant"
"Jay Gruska","Amy Grant"
"Wayne Kirkpatrick","Amy Grant"
"Sam Watters","Louis Biancaniello"
"Mark Hill","Craig David"
"Marcus Boyd","Dwayne Carter, Jr."
"LaMar Seymour","Dwayne Carter, Jr."
"LaNelle Seymour","Dwayne Carter, Jr."
"Jermaine Preyan","Dwayne Carter, Jr."
"Noel Fisher","Dwayne Carter, Jr."
"James Napier","Sam Smith"
"Antonio Romero Monge","Rafael Ruiz Perdigones"
"Ben Moody","Amy Lee"
"Butch Walker","Avril Lavigne"
"Billy Steinberg","Josh Alexander"
"Darren Hayes","Daniel Jones"
"Kerry Brothers Jr.","Alicia Keys"
"George M. Harry","Alicia Keys"
"Mario Johnson","Robert Van Winkle"
"Brian May","Robert Van Winkle"
"David Bowie","Robert Van Winkle"
"Freddie Mercury","Robert Van Winkle"
"John Deacon","Robert Van Winkle"
"Roger Taylor","Robert Van Winkle"
"Frank J. Myers","Gary Baker"
"Max Martin","Andreas Carlsson"
"Michael Bradford","Matthew Shafer"
"Harvey Hester","Elgin Lumpkin"
"Ryan Peake","Chad Kroeger"
"Mike Kroeger","Chad Kroeger"
"Daniel Adair","Chad Kroeger"
"Charles Kelley","Hillary Scott"
"Dave Haywood","Hillary Scott"
"Josh Kear","Hillary Scott"
"Ben Margulies","Mariah Carey"
"Harvey Mason Jr.","Tyrese Gibson"
"Damon Thomas","Tyrese Gibson"
"Eric Dawkins","Tyrese Gibson"
"Savan Kotecha","Max Martin"
"Shellback","Max Martin"
"Fredrick B. Williams","Robert Clivillés"
"David Cole","Mariah Carey"
"Robert Clivilés","Mariah Carey"
"Chad Elliott","Rufus Moore"
"Beyoncé Knowles","Rufus Moore"
"Luis Resto","Marshall Mathers"
"David Jolicoeur","Damon Albarn"
"Tim Pagnotta","Tyler Glenn"
"Nick Mira","Higgins"
"Dominic Miller","Higgins"
"Marvin Craig","Norman Beavers"
"Bryan Wino Dobbs","Norman Beavers"
"Artis Ivey Jr.","Norman Beavers"
"Fred Alexander Jr.","Norman Beavers"
"Mark Adam Wood Jr.","Norman Beavers"
"Tiemeyer McCain","Norman Beavers"
"Thomas Oliver Shelby","Norman Beavers"
"Stephen Shockley","Norman Beavers"
"Otis Stokes","Norman Beavers"
"David Kahne","Sugar Ray"
"Richard Bean","Sugar Ray"
"Abel Zarate","Sugar Ray"
"Pablo Tellez","Sugar Ray"
"Chad Kroger","Nickleback"
"Bruno Mars","Belcalis Almanzar"
"James Fauntleroy","Belcalis Almanzar"
"Jonathan Yip","Belcalis Almanzar"
"Ray Romulus","Belcalis Almanzar"
"Jeremy Reeves","Belcalis Almanzar"
"Ray McCullough II","Belcalis Almanzar"
"Shay Mooney","Dan Smyers"
"Justin Bieber","Dan Smyers"
"Jason Boyd","Dan Smyers"
"Jessie Jo Dillon","Dan Smyers"
"Jordan Reynolds","Dan Smyers"
"Kendrick Lamar Duckworth","Abel Tesfaye"
"Adam Feeney","Abel Tesfaye"
"Jason Quenneville","Abel Tesfaye"
"Martin McKinney","Abel Tesfaye"
"Justin Bieber","Thomas Pentz"
"Karen Marie Ørsted","Thomas Pentz"
"Benjamin Levin","Thomas Pentz"
"Henry Allen","Thomas Pentz"
"Philip Meckseper","Thomas Pentz"
"Ed Sheeran","Thomas Pentz"
"Jamie Scott","Thomas Pentz"
"Savan Kotecha","Max Martin"
"Rickard Göransson","Max Martin"
"Onika Maraj","Max Martin"
"Ariana Grande","Max Martin"
"Bernie Taupin","Elton John"
"Jeppe Laursen","Stefani Germanotta"
"Lukasz Gottwald","Katy Perry"
"Max Martin","Katy Perry"
"Bonnie McKee","Katy Perry"
"Max Martin","Taylor Swift"
"Shellback","Taylor Swift"
"Levi Lennox","Zayn Malik"
"Anthony Hannides","Zayn Malik"
"Michael Hannides","Zayn Malik"
"Joe Garrett","Zayn Malik"
"Max Martin","Justin Timberlake"
"Shellback","Justin Timberlake"
"Johnny McDaid","Ed Sheeran"
"Kandi Burruss","Ed Sheeran"
"Kevin ""She'kspere"" Briggs","Ed Sheeran"
"Steve Mac","Ed Sheeran"
"Tameka Cottle","Ed Sheeran"
"Victoria Monét","Ariana Grande"
"Tayla Parx","Ariana Grande"
"Tommy Brown","Ariana Grande"
"Charles Anderson","Ariana Grande"
"Michael Foster","Ariana Grande"
"Njomza Vitia","Ariana Grande"
"Kimberly Krysiuk","Ariana Grande"
"Richard Rodgers","Ariana Grande"
"Oscar Hammerstein II","Ariana Grande"
"Louis Bell","Ryan Tedder"
"Mustafa Ahmed","Ryan Tedder"
"Adam Feeney","Ryan Tedder"
"Homer Steinweiss","Ryan Tedder"
"Nicholas Jonas","Ryan Tedder"
"Joseph Jonas","Ryan Tedder"
"Kevin Jonas II","Ryan Tedder"
"Tim Middleton","Bone"
"Tony-C","Bone"
"Terry Lewis","James Harris III"
"David Hodges","Jess Cates"
"Emanuel Kiriakou","Jess Cates"
"Jessica Cornish","Lukasz Gottwald"
"Claude Kelly","Lukasz Gottwald"
"Lukasz Gottwald","Katy Perry"
"Max Martin","Katy Perry"
"Benjamin Levin","Katy Perry"
"Bonnie McKee","Katy Perry"
"Calvin Broadus","Katy Perry"
"Mason Levy","Mike Posner"
"Matthew Musto","Mike Posner"
"Justin Bieber","Mike Posner"
"Michael Tucker","Justin Bieber"
"Sonny Moore","Justin Bieber"
"Justin Tranter","Justin Bieber"
"Julia Michaels","Justin Bieber"
"Shayaa Abraham-Joseph","Austin Post"
"Louis Bell","Austin Post"
"Olufunmibi Awoshiley","Austin Post"
"Carl Rosen","Austin Post"
"Jo-Vaughn Scott","Austin Post"
"Tyrone Griffin","Austin Post"
"Louis Bell","Austin Post"
"Max Martin","Ariana Grande"
"Ilya Salmanzadeh","Ariana Grande"
"Savan Kotecha","Ariana Grande"
"Kandi Burruss","Ariana Grande"
"Kevin Briggs","Ariana Grande"
"Claude Kelly","Lukasz Gottwald"
"Benjamin Levin","Lukasz Gottwald"
"William Squier","Marshall Mathers"
"Adam Horovitz","Marshall Mathers"
"Adam Yauch","Marshall Mathers"
"Rick Rubin","Marshall Mathers"
"Joseph Modeliste","Marshall Mathers"
"Arthur Neville","Marshall Mathers"
"Cyril Neville","Marshall Mathers"
"Leo Nocentelli","Marshall Mathers"
"George Porter Jr.","Marshall Mathers"
"Vincent Brown","Marshall Mathers"
"Anthony Criss","Marshall Mathers"
"Keir Gist","Marshall Mathers"
"Savan Kotecha","Max Martin"
"Ilya Salmanzadeh","Max Martin"
"Amethyst Kelly","Max Martin"
"Ariana Grande","Max Martin"
"Aubrey Graham","Jacques Webster II"
"Khalif Brown","Jacques Webster II"
"John Hawkins","Jacques Webster II"
"Chauncey Hollis","Jacques Webster II"
"Ozan Yildirim","Jacques Webster II"
"Cydel Young","Jacques Webster II"
"Tim Gomringer","Jacques Webster II"
"Kevin Gomringer","Jacques Webster II"
"Mirsad Dervić","Jacques Webster II"
"Rogét Chahayed","Jacques Webster II"
"Brytavious Chambers","Jacques Webster II"
"Michael Dean","Jacques Webster II"
"Luther Campbell","Jacques Webster II"
"Harry Wayne Casey","Jacques Webster II"
"Richard Finch","Jacques Webster II"
"Christopher Wallace","Jacques Webster II"
"Osten Harvey","Jacques Webster II"
"Bryan Higgins","Jacques Webster II"
"Trevor Smith","Jacques Webster II"
"James Jackson","Jacques Webster II"
"Malik Taylor","Jacques Webster II"
"Keith Elam","Jacques Webster II"
"Christopher Martin","Jacques Webster II"
"Kamaal Fareed","Jacques Webster II"
"Ali Shaheed Muhammad","Jacques Webster II"
"Tyrone Taylor","Jacques Webster II"
"Fred Scruggs","Jacques Webster II"
"Kirk Jones","Jacques Webster II"
"Chylow Parker","Jacques Webster II"
"Sean Combs","Christopher Wallace"
"Reginald D. Ellis","Christopher Wallace"
"Norman A. Glover","Christopher Wallace"
"Carl Thompson","Christopher Wallace"
"Eliot Kennedy","Spice Girls"
"Jon B.","Spice Girls"
"Christopher ""Tricky"" Stewart","Justin Bieber"
"Terius Nash","Justin Bieber"
"Christopher Bridges","Justin Bieber"
"Christina Milian","Justin Bieber"
"Jahseh Onfroy","Dwayne Carter"
"Juan Guerrieri-Maril","Dwayne Carter"
"Benjamin Diehl","Dwayne Carter"
"Gamal Lewis","Dwayne Carter"
"James Harris III","Janet Jackson"
"Terry Lewis","Janet Jackson"
"Matt Rowe","Spice Girls"
"Richard Stannard","Spice Girls"
"Paul Blair","Stefani Germanotta"
"Dino Zisis","Stefani Germanotta"
"Nick Monson","Stefani Germanotta"
"Martin Bresso","Stefani Germanotta"
"Nicolas Mercier","Stefani Germanotta"
"Julien Arias","Stefani Germanotta"
"William Grigahcine","Stefani Germanotta"
"Tiziano Ferro","Julian Bunetta"
"Jamie Scott","Julian Bunetta"
"John Ryan","Julian Bunetta"
"Louis Tomlinson","Julian Bunetta"
"Liam Payne","Julian Bunetta"
"Niall Horan","Julian Bunetta"
"Harry Styles","Julian Bunetta"
"Zayn Malik","Julian Bunetta"
"Kristoffer Eriksson","Andrew Taggart"
"Fredrik Häggstam","Andrew Taggart"
"Charlee Nyman","Andrew Taggart"
"Louis Bell","Post Malone"
"Frank Dukes","Post Malone"
"Billy Walsh","Post Malone"
"Kaan Gunesberk","Post Malone"
"Finneas O'Connell","Billie Eilish"
"Louis Bell","Austin Post"
"Adam Feeney","Austin Post"
"Kaan Gunesberk","Austin Post"
"Billy Walsh","Austin Post"
"John Leventhal","Shawn Colvin"
"Lukasz Gottwald","Katy Perry"
"Max Martin","Katy Perry"
"Benjamin Levin","Katy Perry"
"Bonnie McKee","Katy Perry"
"Adam Levine","Mike Posner"
"Joshua Coleman","Mike Posner"
"Lukasz Gottwald","Mike Posner"
"Jacob Kasher Hindlin","Mike Posner"
"Henry Walter","Mike Posner"
"Gordon Kennedy","Tommy Sims"
"Wayne Kirkpatrick","Tommy Sims"
"Max Martin","Pink"
"Shellback","Pink"
"Nadir Khayat","Stefani Germanotta"
"Noah Shebib","Aubrey Graham"
"Anthony Palman","Aubrey Graham"
"Jamie Smith","Aubrey Graham"
"Brook Benton","Aubrey Graham"
"Nadir Khayat","Onika Maraj-Petty"
"Carl Falk","Onika Maraj-Petty"
"Rami Yacoub","Onika Maraj-Petty"
"Wayne Hector","Onika Maraj-Petty"
"Bilal Hajji","Onika Maraj-Petty"
"Ashley Frangipane","Andrew Taggart"
"Shaun Frank","Andrew Taggart"
"Frederic Kennett","Andrew Taggart"
"Isaac Slade","Andrew Taggart"
"Joe King","Andrew Taggart"
"Andrew Wyatt","Lady Gaga"
"Anthony Rossomando","Lady Gaga"
"Mark Ronson","Lady Gaga"
"Babyface","Whitney Houston"
"Michael Houston","Whitney Houston"
"Paul Jefferies","Aubrey Graham"
"Ayodeji Balogun","Aubrey Graham"
"Noah Shebib","Aubrey Graham"
"Errol Reid","Aubrey Graham"
"Luke Reid","Aubrey Graham"
"Kyla Smith","Aubrey Graham"
"Corey Johnson","Aubrey Graham"
"Logan Sama","Aubrey Graham"
"Jimmy Napes","Sam Smith"
"Mikkel S. Eriksen","Sam Smith"
"Tor E. Hermansen","Sam Smith"
"Normani Kordei Hamilton","Sam Smith"
"Ben Lovett","Ted Dwane"
"Winston Marshall","Ted Dwane"
"Marcus Mumford","Ted Dwane"
"Ron Lawrence","Sean Combs"
"Mason Betha","Sean Combs"
"Christopher Wallace","Sean Combs"
"Deric Angelettie","Sean Combs"
"David Bowie","Sean Combs"
"Lisa Stansfield","Sean Combs"
"Ian Devaney","Sean Combs"
"Franz Reuther","Peter Bischof-Fallenstein"
"Marty Cintron","Peter Bischof-Fallenstein"
"Mary Applegate","Peter Bischof-Fallenstein"
"Denzel Baptiste","Montero Hill"
"David Biral","Montero Hill"
"Oladipo Omishore","Montero Hill"
"Kurt Cobain","Montero Hill"
"Krystal Oliver","Angela Hunte"
"Calvin Puckett","Angela Hunte"
"Frank Romano","Angela Hunte"
"James Scheffer","Angela Hunte"
"Luis Resto","Marshall Mathers"
"Jeffrey Bass","Marshall Mathers"
"Don Black","Marshall Mathers"
"Andy Hill","Marshall Mathers"
"Jordan Houston","Katy Perry"
"Lukasz Gottwald","Katy Perry"
"Sarah Hudson","Katy Perry"
"Max Martin","Katy Perry"
"Henry Walter","Katy Perry"
"John Cunningham","Jahseh Onfroy"
"Andrew Watt","Austin Post"
"Louis Bell","Austin Post"
"Pierre Marchand","Sarah McLachlan"
"Chris Brown","Brian Kennedy"
"Robert Allen","Brian Kennedy"
"Andre Merritt","Brian Kennedy"
"Max Martin","Taylor Swift"
"Shellback","Taylor Swift"
"Chris E. Martin","Christina Aguilera"
"Kara DioGuardi","Christina Aguilera"
"Charles Martin Roane","Christina Aguilera"
"Harold Beatty","Christina Aguilera"
"Shellback","Max Martin"
"Savan Kotecha","Max Martin"
"Armando Pérez","Max Martin"
"Onika Maraj","Anthony Ray"
"Jamal Jones","Anthony Ray"
"Jonathan Solone-Myvett","Anthony Ray"
"Ernest Clark","Anthony Ray"
"Marcos Palacios","Anthony Ray"
"LaShawn Daniels","Rodney Jerkins"
"Fred Jerkins III","Rodney Jerkins"
"Peter Pankey","Rodney Jerkins"
"Sean Hamilton","Rodney Jerkins"
"Donald Fagen","Rodney Jerkins"
"Walter Becker","Rodney Jerkins"
"Max Martin","Robyn"
"Justin Bieber","Andre Lindal"
"Nasri Atweh","Andre Lindal"
"Rodney Jerkins","Andre Lindal"
"Sean Anderson","Andre Lindal"
"Daniel A. Johnson","Milton L. James"
"Onika Maraj","Milton L. James"
"Edrick Miles","Milton L. James"
"Tony E. Scales","Milton L. James"
"Nasri Atweh","Justin Bieber"
"Adam Messinger","Justin Bieber"
"Nolan Lambroza","Justin Bieber"
"Christopher Bridges","Justin Bieber"
"Raja Kumari","Michael Fonseca"
"J.R. Rotem","Michael Fonseca"
"Justin Tranter","Michael Fonseca"
"Andy Hurley","Michael Fonseca"
"Patrick Stump","Michael Fonseca"
"Joe Trohman","Michael Fonseca"
"Suzanne Vega","Michael Fonseca"
"Pete Wentz","Michael Fonseca"
"Stefani Germanotta","Beyoncé Knowles"
"
Rodney Jerkins","Beyoncé Knowles"
"Herbie Crichlow","Max Martin"
"Frusciante","Flea"
"Kiedis","Flea"
"Smith","Flea"
"Savan Kotecha","Ali Payami"
"Max Martin","Ali Payami"
