Song,Performer,lyrics,genius_pageviews,genius_title,,
Chasing Cars,Snow Patrol,"
We'll do it all
Everything
On our own
We don't need
Anything
Or anyone

If I lay here
If I just lay here
Would you lie with me and just forget the world?

I don't quite know
How to say
How I feel
Those three words
Are said too much
They're not enough

If I lay here
If I just lay here
Would you lie with me and just forget the world?
Forget what we're told
Before we get too old
Show me a garden that's burstin' into life
Let's waste time
Chasin' cars
Around our heads
I need your grace
To remind me
To find my own

If I lay here
If I just lay here
Would you lie with me and just forget the world?
Forget what we're told
Before we get too old
Show me a garden that's burstin' into life
All that I am
All that I ever was
Is here in your perfect eyes, they're all I can see
I don't know where
Confused about how, as well
Just know that these things will never change for us at all

If I lay here
If I just lay here
Would you lie with me and just forget the world?",725569,Chasing Cars by Snow Patrol,,
Cheap Thrills,Sia Featuring Sean Paul,"Come on, come on, turn the radio on
It's Friday night, and it won't be long
Gotta do my hair, put my make-up on
It's Friday night, and it won't be long
'Til I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
Come on, come on, turn the radio on
It's Saturday, and it won't be long
Gotta paint my nails, put my high heels on
It's Saturday, and it won't be long
'Til I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
(Oh, oh, oh)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
La-la-la-la-la
(I love cheap thrills)
La-la-la-la-la
(I love cheap thrills)
La-la-la-la-la
(I love cheap thrills)
La-la-la-la-la
(I love cheap thrills)
",,,,
Check On It,Beyonce Featuring Slim Thug,"
Swizz Beatz
DC, Destiny Child (Slim Thuga)

You need to stop playin' 'round with all them clowns and the wankstas (Huh)
Good girls gotta get down with the gangstas (With the gangstas)
Go 'head, girl, put some back and some neck up on it (Neck up on it)
While I stand up in the background and check up on it

Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight

If you got it, flaunt it, boy, I know you want it (Ooh)
While I turn around (You), you watch me check up on it
Ooh, you watchin' me shake it, I see it in your face
Ya can't take it, it's blazin', you watch me in amazement
You can look at it, as long as you don't grab it (Ooh)
If you don't go braggin' (You), I might let you have it
You think that I'm teasin', but I ain't got no reason
I'm sure that I can please ya, but first I gotta read you

Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight
Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight

I can tell you wanna taste it, but I'm gon' make you chase it (Ooh)
You've got to be patient (You), I like my men patient
More patience, you take my get you in more places
You can't be abrasive, has to know to pace it
If I let you get up on it, you gotta make a promise (Ooh)
That you gon' put it on me (You) like no one's put it on me
Don't bore me, just show me (No), all men talk, but don't please
I can be a tease, but I really wanna please you
Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight
Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it (Ha)
Check on me tonight

Well, it's the King of the Underground and the King of the Trill (Trill)
Standin' on the top of the South like the King of the Hill
You're tuned into a winner that's never takin' a loss (Loss)
Reppin' Houston with Beyoncé and Slim Thug, the Boss
Diamonds on the wood peel, I'm a Dirty South soldier
Draped up in that Crown Holder, thought I told ya (Thought I told ya)
I like your wiggle and the way that you work it
But no touchin', just watchin' you twerk it
I'm checkin' up on you tonight (Yeah)
Ooh, boy, you lookin' like you like what you see (Yeah, yeah)
Won't you come over and check up on it
I'ma let you work up on it (All my ladies)
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it (Yeah)
Check on me tonight (Na-na-na-na-na)

(Check on it, check on it)
Ooh, boy, you lookin' like you like what you see (Woo)
(Check on it, check on it)
Won't you come over and check up on it (Ooh)
I'ma let you work up on it (Yeah)
(Check on it, know you want it)
Ladies, let 'em check up on it (Yeah)
Watch it while he check up on it
(Check on it, hey)
Dip it, pop it, twerk it, stop it
Check on me tonight (Hey)

Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it (You so sexy, boy)
Ladies, let 'em check up on it
Watch it while he check up on it (And I know you want it)
Dip it, pop it, twerk it, stop it
Check on me tonight (So baby, check up on me)
Ooh, boy, you lookin' like you like what you see (He havin' such a good time)
Won't you come over and check up on it
I'ma let you work up on it (I'm gonna work it, baby, you're mine)
Ladies, let 'em check up on it
Watch it while he check up on it (All mine, all mine)
Dip it, pop it, twerk it, stop it
Check on me tonight",72915,Check on It by Beyoncé (Ft. Bun B & Slim Thug),,
Cheerleader,OMI,"When I need motivation
My one solution is my queen
'Cause she stay strong, yeah, yeah
She is always in my corner
Right there when I want her
All these other girls are tempting
But I'm empty when you're gone

And they say
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
And I'm like no, not really 'cause

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her

She walks like a model
She grants my wishes like a genie in a bottle, yeah, yeah
'Cause I'm the wizard of love
And I got the magic wand
All these other girls are tempting
But I'm empty when you're gone

And they say
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
And I'm like no, not really 'cause

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her


Hmm, she gives me love and affection, baby, did I mention?
You're the only girl for me, no, I don't need a next one
Mama loves you too, she thinks I made the right selection
Now all that's left to do is just for me to pop the question

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader",277885,Cheerleader by OMI,,
Circles,Post Malone,"Oh, oh, oh
Oh,  oh, oh
Oh,  oh, oh, oh, oh

We couldn't turn around 'til we were upside down
I'll be the bad guy now, but know I ain't too proud
I  couldn't be there even when I tried
You  don't believe it, we do this every time

Seasons change and our love went cold
Feed  the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm  waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Let go, I got a feeling that it's time to let go
I said so, I knew that this was doomed from the get-go
You thought that it was special, special
But it was just the sex, though, the sex, though
And I still hear the echoes (The echoes)
I got a feeling that it's time to let it go, let it go
Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Maybe you don't understand what I'm going through
It's only me, what you got to lose?
Make up your mind, tell me, what are you gonna do?
It's only me, let it go

Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away",2187753,Circles by Post Malone,,
Circus,Britney Spears,"There's only two types of people in the world
The ones that entertain and the ones that observe
Well, baby, I'm a put-on-a-show kinda girl
Don't like the backseat, gotta be first (Oh, oh)

I'm like the ringleader, I call the shots (Call the shots)
I'm like a firecracker, I make it hot
When I put on a show

I feel the adrenaline movin' through my veins
Spotlight on me and I'm ready to break
I'm like a performer, the dance floor is my stage
Better be ready, hope that you feel the same

All eyes on me in the center of the ring
Just like a circus
When I crack that whip, everybody gon' trip
Just like a circus
Don't stand there watchin' me, follow me
Show me what you can do
Everybody let go, we can make a dance floor
Just like a circus

There's only two types of guys out there
Ones that can hang with me and ones that are scared
So, baby, I hope that you came prepared
I run a tight ship, so beware

I'm like the ringleader, I call the shots (I call the shots)
I'm like a firecracker, I make it hot
When I put on a show

I feel the adrenaline movin' through my veins
Spotlight on me and I'm ready to break
I'm like a performer, the dance floor is my stage
Better be ready, hope that you feel the same

All eyes on me in the center of the ring
Just like a circus
When I crack that whip, everybody gon' trip
Just like a circus
Don't stand there watchin' me, follow me
Show me what you can do
Everybody let go, we can make a dance floor
Just like a circus
Let's go
Let me see what you can do
I'm runnin' this (Like-like-like-like a circus)
Yeah, like a what? (Like-like-like-like a circus)

All eyes on me in the center of the ring
Just like a circus
When I crack that whip, everybody gon' trip
Just like a circus
Don't stand there watchin' me, follow me
Show me what you can do
Everybody let go, we can make a dance floor
Just like a circus
All eyes on me in the center of the ring
Just like a circus
When I crack that whip, everybody gon' trip
Just like a circus
Don't stand there watchin' me, follow me
Show me what you can do
Everybody let go, we can make a dance floor
Just like a circus",150171,Circus by Britney Spears,,
Clarity,Zedd Featuring Foxes,"
High dive into frozen waves
Where the past comes back to life
Fight fear for the selfish pain
It was worth it every time
Hold still right before we crash
'Cause we both know how this ends
Our clock ticks till it breaks your glass
And I drown in you again

'Cause you are the piece of me
I wish I didn't need
Chasing relentlessly
Still fight and I don't know why

If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?


If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?
Walk on through a red parade
And refuse to make amends
It cuts deep through our ground
And makes us forget all common sense
Don't speak as I try to leave
'Cause we both know what we'll choose
If you pull, then I'll push too deep
And I'll fall right back to you

'Cause you are the piece of me
I wish I didn't need
Chasing relentlessly
Still fight and I don't know why

If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?


Why are you my clarity?
Why are you my remedy?
Why are you my clarity?
Why are you my remedy
If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?
",663781,Clarity by Zedd (Ft. Foxes),,
Clique,"Kanye West, Jay-Z, Big Sean","What of the dollar you murdered for?
Is that the one fighting for your soul?
Or your brother's the one that you're running from?
But if you got money, fuck it, ‘cause I want some
B-I-G
Who fuckin' with me?
Oh, God!
Woah

Okay, ain't nobody fuckin' with my clique
Clique, clique, clique, clique
Ain't nobody fresher than my muhfuckin' clique
Clique, clique, clique, clique
As I look around, they don't do it like my clique
Clique, clique, clique, clique
And all these bad bitches, man, they want the-
They want the-, they want the- (B-I-G, oh God)
Go

I tell a bad bitch do whatever I say (Yup)
My block behind me, like I'm coming out the driveway (Swerve)
It's grind day, from Friday to next Friday (Woah)
I been up straight for nine days, I need a spa day (Spa day)
Yup, she try and gimme that poon-tang
I might let my crew bang, my crew deeper than Wu-Tang (Woah)
I'm rollin' with, ha, fuck I'm saying? Girl, you know my crew name
You know 2 Chainz? Skrrt! I'm pullin' up in that Bruce Wayne
But I'm the fuckin' villain, man, they kneelin' when I'm walking in the buildin'
Freaky women I be feelin' from the bank accounts I'm fillin'
What a feelin'! Ah man, they gotta be
Young player from the D that's killing everything that he see for the dough

Okay, ain't nobody fuckin' with my clique
Clique, clique, clique, clique
Ain't nobody fresher than my ma'fuckin' clique
Clique, clique, clique, clique
As I look around, they don't do it like my clique
Clique, clique, clique, clique
And all these bad bitches, man, they want the-
They want the-, they want the-
Go

(Click clack, stick 'em up)
Yeah, I'm talkin' Ye (Clique) yeah, I'm talkin' Rih (Clique)
Yeah, I'm talkin' B (Clique) nigga, I'm talkin' me
Yeah, I'm talkin' bossy, I ain't talkin' Kelis
Your money too short, you can't be talkin' to me
Yeah, I'm talkin' LeBron, we ball in our family tree
G.O.O.D. Music drug-dealing cousin, ain't nothin' fuckin' with we
Me, turn that sixty-two to one-twenty-five, one-twenty-five to a two-fifty
Two-fifty to a half a, man, ain't nothin' nobody can do with me
Now, who with me? ¡Vámonos! Call me Hov or Jefe
Translation: I'm the shit, 'least that what my neck say
'Least that what my check say, lost my homie for a decade
Nigga down for like twelve years, ain't hug his son since the second grade
Uh, he never told—who he gon' tell?
We top of the totem pole
It's the Dream Team meets the Supreme Team
And all our eyes green, it only means one thing: you ain't fuckin' with the clique
Okay, ain't nobody fuckin' with my clique
Clique, clique, clique, clique
Ain't nobody fresher than my ma'fuckin' clique
Clique, clique, clique, clique
As I look around, they don't do it like my clique
Clique, clique, clique, clique
And all these bad bitches, man, they want the-
They want the-, they want the-

Break records at Louis, ate breakfast at Gucci
My girl a superstar all from a home movie
Bow on our arrival, the un-American idols
What niggas did in Paris, got 'em hangin' off the Eiffel
Yeah, I'm talkin' business, we talkin' CIA
I'm talkin' George Tenet, I seen him the other day
He asked me about my Maybach, think he had the same
Except mine tinted and his might have been rented
You know, white people get money, don't spend it
Or maybe they get money, buy a business
I rather buy eighty gold chains and go ign'ant
I know Spike Lee gon' kill me, but let me finish
Blame it on the pigment, we livin' no limits
Them gold Master P ceilings was just a figment
Of our imagination, MTV cribs
Now I'm lookin' at a crib right next to where TC lives
That's Tom Cruise, whatever she accuse
He wasn't really drunk, he just had a frew brews
Pass the refreshments, a cool, cool beverage
Everything I do need a news crew's presence
Speedboat swerve, homie, watch out for the waves
I'm way too Black to burn from sunrays
So I just meditate at the home in Pompeii
About how I could build a new Rome in one day
Every time I'm in Vegas they screamin' like, ""He's Elvis""
But I just wanna design hotels and nail it
Shit is real, got me feelin' Israelian
Like Bar Refaeli, or Gisele—no, that's Brazilian
Went through, deep depression when my mama passed
Suicide, what kinda talk is that?
But I been talkin' to God for so long
That if you look at my life I guess He talkin' back
Fuckin' with my clique
Ain't nobody fresher than my ma'fuckin' clique
As I look around, they don't do it like my clique
And all these bad bitches, man, they want the-
They want the- they want the-
Go
",3784283,"Clique by Kanye West, JAY-Z & Big Sean",,
Close To You,Fun Factory,"Oh Baby talk to me
Oh Baby can't you see
Cause I'm the shiest girl
In the whole wide world
So come on take my hand
And make me understand
I want to be with you
I wanna be so close to you
I wanna be so close to you
You say you're shy girl, just take a look
The lessons of love and I wrote the book
The book of love is about you and me
The things we'll do and how we'll be
Together forever just as one
The life we live is just for fun
And what you see is what you get
And you ain't seen a damn thing yet
So let me flow just how I like
The love you give girl feels so right
So give me a chance to take your soul
I wanna take your body
And take control
No way to move, no way to groove
Factory bustin' out with a brand new groove
So get on the dance floor and take control
Before I lose my soul
I wanna spend my night with you girl
I wanna spend my life with you girl
I wanna give my life to you girl
I wanna be so close to you girl",,Close to You by Fun Factory,,
Closer,The Chainsmokers Featuring Halsey,"Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again
I know it breaks your heart
Moved to the city in a broke-down car, and
Four years, no calls
Now you're looking pretty in a hotel bar
And I, I, I, I, I can't stop
No, I, I, I, I, I can't stop
So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that Blink-182 song
That we beat to death in Tucson, okay
I know it breaks your heart
Moved to the city in a broke-down car, and
Four years, no call
Now I'm looking pretty in a hotel bar
And I, I, I, I, I can't stop
No, I, I, I, I, I can't stop
So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older",,,,
Club Can't Handle Me,Flo Rida Featuring David Guetta,"
You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
Haha! Can't nothin' handle me right now!
I see you, D. Guetta, let's get 'em!

Hey
I own the night and I don't need no help
Gotta be the feeling that Scarface felt
Stuntin' gone wild, can't handle this playa
Life of the club arrogant like yeah
Talk like money so the girls just melt
One too many, all on me like twelve
Look like cash and they all just stare
Bottles, models, standin' on chairs
Ball out 'cause that's the business
All out, it's so ridiculous
Zone out, so much attention
Scream out, I'm in the building, hey!
They watchin', I know this
I'm rockin', I'm rollin'
I'm holdin', I know it, you know it
You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)

Hey
Still feelin' myself, I'm like outta control
Can't stop now, more shots, let's go
Ten more rounds, can I get a K.O.?
Paparazzi tryna make me pose
Came to party 'til I can't no more
Celebrate 'cause that's all I know
Tip the groupies takin' off they clothes
Grand finale like Super Bowl
Go hard, I run the show
That's right, wild out, got money to blow
More lights, more ice, when I walk in the door
No hype, do it big all over the globe
Yeah! I said it, go tell it
Confetti, who ready?
I'm ready! You ready? Let's get it!
You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
(Put your hands up!)
(Put your hands up!)
(Put your hands up!)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
(Put your hands up!)
(Put your hands up!)
(Put your hands up!)

You got me watchin' now (Yeah)
Got my attention now (Yeah)
Got everybody in the club wantin' to know now
I am a ladies' man, come and be my lady and
We can ball, so, ahh!
Bring ya body here, let me switch up ya atmosphere
Take you out of the club and up in my new Lear (Yeah)
Fly you all around the world
Whatchu want, baby girl?
Are you ready to go, now?
You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
(Put your hands up!)
(Put your hands up!)
(Put your hands up!)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)

Put your hands up!
Let's celebrate now!
Put your hands up!
Put your hands up!
Let's celebrate now!
Put your hands up!
You know who shut 'em down!",73077,Club Can't Handle Me by Flo Rida (Ft. David Guetta),,
Clumsy,Fergie,"She can't help it, the girl can't help it (Oh, baby)
She can't help it, the girl can't help it (Oh, baby)
She can't help it, the girl can't help it (Oh, baby)
She can't help it

First time that I saw your eyes
Boy, you looked right through me, mm-mm
Played it cool, but I knew you knew
That cupid hit me, mm-mm

You got me trippin' (Oh), stumblin' (Oh), flippin' (Oh), fumblin'
So clumsy 'cause I'm fallin' in love (In - in, love - love)
You got me slippin' (Oh), tumblin' (Oh), sinkin' (Oh), crumblin'
So clumsy 'cause I'm fallin' in love (In - in, love - love)
So in love with you

She can't help it, the girl can't help it (Oh, baby)
She can't help it, the girl can't help it (Oh, no)
She can't help it, the girl can't help it (No how)
She can't help it

Can't breathe, when you touch my sleeve
Butterflies so crazy, mmm-mmm
Whoa now, think I'm goin' down
Friends don't know what's with me, mmm-mmm

You got me trippin' (Oh), stumblin' (Oh), flippin' (Oh), fumblin'
So clumsy 'cause I'm fallin' in love (In - in, love - love)
You got me slippin' (Oh), tumblin' (Oh), sinkin' (Oh), crumblin'
So clumsy 'cause I'm fallin' in love (In - in, love - love)
So in love with you

She can't help it, the girl can't help it (Oh, no)
She can't help it, the girl can't help it (Oh, please)
She can't help it, the girl can't help it (Oh, no)
She can't help it

You know, this ain't the first time this has happened to me
This ""love sick"" thing
I like serious relationships, and, uh
A girl like me don't stay single for long
'Cause every time a boyfriend and I break up
My world is crushed and I'm all alone
The love bug comes right back up and bites me
And I'm back

She can't help it, the girl can't help it (In love)
She can't help it, the girl can't help it (Oh, God)
She can't help it, the girl can't help it (I'm back in love)
Can't help it (Ooh, whoo, ooh)
She can't help it, the girl can't help it (I'm back in love now)
She can't help it, the girl can't help it (I'm back in love now, baby)
She can't help it, the girl can't help it (I'm back in love now)
She can't help it (And now you got me)
You got me trippin' (Oh), stumblin' (Oh), flippin' (Oh), fumblin'
So clumsy 'cause I'm fallin' in love (In - in, love - love)
You got me slippin' (Oh), tumblin' (Oh), sinkin' (Oh), crumblin'
So clumsy 'cause I'm fallin' in love (In - in, love - love)
So in love with you
Clumsy 'cause I'm fallin' in love (In - in, love - love)
You got me slippin' (Oh), tumblin' (Oh), sinkin' (Oh), crumblin'
So clumsy 'cause I'm fallin' in love (In - in, love - love)

So in love with you
So in love with you
So in love with you",74026,Clumsy by Fergie,,
Cold Water,Major Lazer Featuring Justin Bieber & MO,"Everybody gets high sometimes, you know
What else can we do when we're feelin' low?
So take a deep breath and let it go
You shouldn't be drowning on your own

And if you feel you're sinking, I will jump right over
Into cold, cold water for you
And although time may take us into different places
I will still be patient with you
And I hope you know

I won't let go
I'll be your lifeline tonight
I won't let go
I'll be your lifeline tonight

'Cause we all get lost sometimes, you know?
It's how we learn and how we grow
And I wanna lay with you 'til I'm old, o-old
You shouldn't be fighting on your own

And if you feel you're sinking, I will jump right over
Into cold, cold water for you
And although time may take us into different places
I will still be patient with you
And I hope you know

I won't let go (And I won't let go, no-no, no-no, no, I won't)
I'll be your lifeline tonight
I won't let go
I'll be your lifeline tonight (I won't let, yeah, yeah)

Come on, come on, save me from my rocking boat
I just wanna stay afloat, I'm all alone (Float, float, float, float)
And I hope, I hope someone's gonna take me home
Somewhere I can rest my soul (Rest my soul)
I need to know

You won't let go (And I won't let go, no-no, no-no, no, I won't)
I'll be your lifeline tonight
You won't let go
I'll be your lifeline tonight

I won't let go
I won't let go",1495063,Cold Water by Major Lazer (Ft. Justin Bieber & MØ),,
"Colors Of The Wind (From ""Pocahontas"")",Vanessa Williams,"You think you own whatever land you land on
The Earth is just a dead thing you can claim
But I know ev'ry rock and tree and creature
Has a life, has a spirit, has a name
You think the only people who are people
Are the people who look and think like you
But if you walk the footsteps of a stranger
You'll learn things you never knew you never knew

Have you ever heard the wolf cry to the blue corn moon
Or asked the grinning bobcat why he grinned?
Can you sing with all the voices of the mountain?
Can you paint with all the colors of the wind?
Can you paint with all the colors of the wind?

Come run the hidden pine trails of the forest
Come taste the sun-sweet berries of the Earth
Come roll in all the riches all around you
And for once, never wonder what they're worth
The rainstorm and the river are my brothers
The heron and the otter are my friends
And we're all connected to each other
In a circle, in a hoop that never ends

Have you ever heard the wolf cry to the blue corn moon
Or let the eagle tell you where he's been
Can you sing with all the voices of the mountain?
Can you paint with all the colors of the wind?
Can you paint with all the colors of the wind?

How high does the sycamore grow?
If you cut it down
Then you'll never know

And you'll never hear the wolf cry to the blue corn moon
For whether we are white or copper-skinned
We need to sing with all the voices of the mountain
Need to paint with all the colors of the wind

You can own the Earth and still
All you'll own is Earth until
You can paint with all colors of the wind",151800,Colors of the Wind by Vanessa Williams,,
Come & Get It,Selena Gomez,"When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
When you're ready, when you're ready
When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na

You ain't gotta worry, it's an open invitation
I'll be sitting right here real patient
All day, all night, I'll be waiting standby
Can't stop, because I love it
Hate the way I love you
All day, all night
Maybe I'm addicted for life, no lie

I'm not too shy to show I love you
I got no regrets
I love you much too much to hide you
This love ain't finished yet
This love ain't finished yet
So baby, whenever you're ready

When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
When you're ready, when you're ready
When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na

You got the kind of love that I want, let me get that
(Let me get that, yeah)
And baby, once I get it, I'm yours, no take-backs
Gon' love you for life, I ain't leaving your side
Even if you knock it, ain't no way to stop it
Forever, you're mine
Baby, I'm addicted, no lie, no lie

I'm not too shy to show I love you
I got no regrets
So baby, whenever you're ready

When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
When you're ready, when you're ready
When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
This love will be the death of me
But I know I'll die happily
I'll know, I'll know, I'll know
Because you love me so
Yeah

When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
When you're ready come and get it
Na-na-na-na, na-na-na-na, na-na-na-na
(I'm gonna get it, yeah, yeah)
When you're ready, when you're ready
When you're ready come and get it
(When you're ready, when you're ready
Come and get it, get it)
Na-na-na-na, na-na-na-na, na-na-na-na",181126,Come & Get It by Selena Gomez,,
Come & Talk To Me,Jodeci,"Been watching you baby
For a long time
You look so good
Got my eyes on you
I've been watching you
For so very long
Trying to get my nerve built up to be so strong
I really want to meet you
But I'm kind of scared
Cause you're the kind of lady
With so much class
Get my thoughts together
For the very next day
But when I see you lady
I forget what to say
Your eyes and hair
Such a beautiful tone
The way you dress and walk
It really turns me on
Ooh, you really turn me on
Ooh, you really turn me on
Come on, come on, come on

Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you
Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you

There you are again
With the same smile each day
I wanna know what it is
That makes me feel this way
I wish I could grab you
Tell you what it means to me
To see you walking by my way
It really makes my day
Before I go to sleep and dream about you
I'm a single man
I hope that you are single too
Why do I seek
Something to set my mind free
Cause curiosity is bugging
The hell outta me
Talk to me, talk to me, talk to me, baby

Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you
Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you
I wanna know, you wanna tell me your name
Let me play your game
I wanna know, you wanna tell me your name
Let me play your game
I wanna know, you wanna tell me your name
Let me play your game

Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you
Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you
Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you
Come and talk to me
I really want to meet you
Can I talk to you?
I really want to know you
I wanna know, you wanna tell me your name
Let me play your game
I wanna know, you wanna tell me your name
Let me play your game
I wanna know, you wanna tell me your name
Let me play your game
I wanna know, you wanna tell me your name
Let me play your game",55419,Come & Talk to Me by Jodeci,,
